t,dt,depth,lat,lon,D,I,F,dD,dI,dF,subs,type,UID,FID
1949.2233739213316,27.471294110158933,2.5,33.2309,35.7689,,,0.6848,6.460189892875843,6.225235714285714,0.1,BIR2-1,sediment,0,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1932.822058305526,30.900481698789246,5.0,33.2309,35.7689,,,0.58709,5.743906304490393,5.267507142857142,0.1,BIR2-1,sediment,1,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1917.076795314353,35.94970656180113,7.4,33.2309,35.7689,,,0.69363,3.702337499565717,2.873185714285714,0.1,BIR2-1,sediment,2,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1901.33153232318,42.09912894993671,9.8,33.2309,35.7689,,,0.58566,3.859001134869047,3.3520499999999993,0.1,BIR2-1,sediment,3,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1887.2848008492547,44.57824544905083,12.2,33.2309,35.7689,,,1.08883,3.578257227838329,2.3943214285714283,0.1,BIR2-1,sediment,4,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1873.9713279780178,47.56013950152339,14.5,33.2309,35.7689,,,0.98746,3.4616182987648045,2.873185714285714,0.1,BIR2-1,sediment,5,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1860.0790084602056,51.53787767136521,16.9,33.2309,35.7689,,,0.81478,4.742108835564602,3.990535714285714,0.1,BIR2-1,sediment,6,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1846.765535588969,56.00829432551205,19.2,33.2309,35.7689,-27.6,43.0,1.1035,4.365095253310044,3.192428571428571,0.1,BIR2-1,sediment,7,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1832.6544199939124,58.45441926687778,21.6,33.2309,35.7689,-5.1,40.5,1.21773,3.358657049892499,2.553942857142857,0.1,BIR2-1,sediment,8,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1817.8413849588308,60.50978775929992,24.1,33.2309,35.7689,-8.1,43.4,1.10472,4.833187239899954,3.5116714285714283,0.1,BIR2-1,sediment,9,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1803.6208713251517,63.37920278698357,26.5,33.2309,35.7689,-13.1,40.9,1.01061,2.7453450385214055,2.0750785714285715,0.1,BIR2-1,sediment,10,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1790.5854004942796,66.68360052890185,28.7,33.2309,35.7689,-17.4,49.6,1.05386,3.4479731240073836,2.2346999999999997,0.1,BIR2-1,sediment,11,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1776.1640210982616,68.86557727048717,31.1,33.2309,35.7689,-19.0,40.7,1.00868,2.947630641830466,2.2346999999999997,0.1,BIR2-1,sediment,12,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1762.116036817459,69.40438625224338,33.4,33.2309,35.7689,-33.6,49.8,0.87759,4.945992017983229,3.192428571428571,0.1,BIR2-1,sediment,13,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1747.457270611404,70.830781245256,35.8,33.2309,35.7689,-7.2,44.1,1.22716,4.8900471121995395,3.5116714285714283,0.1,BIR2-1,sediment,14,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1732.7985044053487,73.08845806058261,38.2,33.2309,35.7689,-0.1,50.4,1.6289,3.50582977098344,2.2346999999999997,0.1,BIR2-1,sediment,15,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1718.6443660765074,75.19576113972106,40.5,33.2309,35.7689,18.7,45.2,1.47928,3.6244945548056884,2.553942857142857,0.1,BIR2-1,sediment,16,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
