t,dt,depth,lat,lon,D,I,F,dD,dI,dF,subs,type,UID,FID
1760.9444830767968,104.7650816444189,10.6,59.3833,12.08,-12.3,74.9,1.1374,10.997890266575444,2.8649999999999998,0.1,P2,sediment,2,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1647.2147551668713,112.49598699383915,16.7,59.3833,12.08,-16.3,76.6,1.1158,12.362571383832295,2.8649999999999998,0.1,P2,sediment,3,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1585.6888367893703,129.00279490415414,20.0,59.3833,12.08,0.7,72.7,1.1884,9.634304205709682,2.8649999999999998,0.1,P2,sediment,4,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1533.9135981630468,122.80106658000504,22.7,59.3833,12.08,-7.6,74.7,1.1576,10.857493784893776,2.8649999999999998,0.1,P2,sediment,5,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1476.3855552449097,122.95467976948697,25.7,59.3833,12.08,-6.2,72.6,1.176,9.580632723667101,2.8649999999999998,0.1,P2,sediment,6,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1418.8575123267724,130.46761272994328,28.7,59.3833,12.08,-2.9,69.8,1.2184,8.297176203957429,2.8649999999999998,0.1,P2,sediment,7,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1361.8686629453591,129.70570645486575,31.7,59.3833,12.08,-0.1,70.6,1.3262,8.625331879598413,2.8649999999999998,0.1,P2,sediment,8,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1303.4062538694666,123.64352686545263,34.8,59.3833,12.08,12.3,70.0,1.339,8.376699606467241,2.8649999999999998,0.1,P2,sediment,9,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1246.8297289573122,124.52769240878628,37.8,59.3833,12.08,-0.4,71.3,1.3444,8.936007224056613,2.8649999999999998,0.1,P2,sediment,10,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1185.1838166993477,123.00371238753021,41.0,59.3833,12.08,0.2,69.6,1.3913,8.219247705066035,2.8649999999999998,0.1,P2,sediment,11,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1124.7144347321941,108.5172377026315,44.0,59.3833,12.08,-9.9,73.8,1.344,10.269144564046242,2.8649999999999998,0.1,P2,sediment,12,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1064.2450527650406,103.01090473147806,47.0,59.3833,12.08,4.5,73.5,1.3125,10.08748313576745,2.8649999999999998,0.1,P2,sediment,13,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
1003.7756707978871,107.8688096999263,50.0,59.3833,12.08,6.0,73.9,1.4339,10.331224714894773,2.8649999999999998,0.1,P2,sediment,14,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
935.7792373316432,109.0185432117754,52.8,59.3833,12.08,5.6,76.0,1.3936,11.842665141567018,2.8649999999999998,0.1,P2,sediment,15,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
867.7828038653993,123.53884390788605,55.6,59.3833,12.08,6.0,76.1,1.4608,11.926168029576129,2.8649999999999998,0.1,P2,sediment,16,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
792.5010382420579,150.49407051358926,58.7,59.3833,12.08,7.3,75.4,1.495,11.365919364291752,2.8649999999999998,0.1,P2,sediment,17,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
720.7252422525298,162.7595691905977,61.7,59.3833,12.08,1.4,78.5,1.5079,14.370415224369546,2.8649999999999998,0.1,P2,sediment,18,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
649.7734364135202,169.2093708479747,64.7,59.3833,12.08,-5.6,77.8,1.4437,13.557329987088423,2.8649999999999998,0.1,P2,sediment,19,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
581.1866907691445,184.79283316915408,67.6,59.3833,12.08,6.5,78.1,1.434,13.893995383698101,2.8649999999999998,0.1,P2,sediment,20,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
510.1456558399418,201.12194918637582,70.6,59.3833,12.08,0.9,77.1,1.4101,12.833140027839711,2.8649999999999998,0.1,P2,sediment,21,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
441.1276362596323,196.191294715907,73.5,59.3833,12.08,-17.7,79.9,1.4218,16.337192715208637,2.8649999999999998,0.1,P2,sediment,22,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
367.3497532599914,200.3127174568741,76.6,59.3833,12.08,5.1,78.5,1.4898,14.370415224369546,2.8649999999999998,0.1,P2,sediment,23,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
291.1919385506845,214.1332157804347,79.8,59.3833,12.08,3.2,77.0,1.5327,12.736103897608324,2.8649999999999998,0.1,P2,sediment,24,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
220.5456821118345,207.3145906119944,82.8,59.3833,12.08,4.0,76.4,1.5415,12.184121177604759,2.8649999999999998,0.1,P2,sediment,25,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
152.30620362733325,205.8088098784196,85.7,59.3833,12.08,8.3,75.4,1.4674,11.365919364291752,2.8649999999999998,0.1,P2,sediment,26,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
81.71363967784937,211.6195001756383,88.7,59.3833,12.08,3.6,74.5,1.4933,10.720765640190185,2.8649999999999998,0.1,P2,sediment,27,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
13.720399437161626,208.85902465831012,91.6,59.3833,12.08,0.6,72.7,1.4802,9.634304205709682,2.8649999999999998,0.1,P2,sediment,28,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
-58.748163379917244,200.25656497537062,94.7,59.3833,12.08,9.4,70.9,1.4674,8.755633505803296,2.8649999999999998,0.1,P2,sediment,29,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
-128.87903062225143,200.0439536709828,97.7,59.3833,12.08,2.6,71.6,1.5833,9.076536484032188,2.8649999999999998,0.1,P2,sediment,30,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
-198.85405493175597,200.0909337163649,100.7,59.3833,12.08,4.9,73.2,1.5699,9.912404207037538,2.8649999999999998,0.1,P2,sediment,31,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
-270.6324561891602,181.55693873222444,103.8,59.3833,12.08,-2.7,74.2,1.4702,10.522246953790468,2.8649999999999998,0.1,P2,sediment,32,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
-337.779992849313,172.67777436126994,106.7,59.3833,12.08,-1.1,74.8,1.4355,10.927224437147162,2.8649999999999998,0.1,P2,sediment,33,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
-407.24296180809137,173.48055938943799,109.7,59.3833,12.08,-5.5,76.3,1.4432,12.096868885328204,2.8649999999999998,0.1,P2,sediment,34,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
-485.2681631846638,147.73289788728803,112.8,59.3833,12.08,-0.8,72.9,1.4353,9.743561525911565,2.8649999999999998,0.1,P2,sediment,35,b'x\x0bs\xacQ\x01\x85\x87vYz\xe2Z\n\x96*U\x11gx\xfa\x7f\x85\xec\xeb\x0cz\x08\x18\xf1\x15 '
