t,dt,rad,colat,lat,lon,D,dD,I,dI,F,dF,UID,FID,type
-12000,619.0,6371.2,70.32939999999999,19.6706,258.5713,-10.899999999999977,1.6677301442162773,48.5,1.1050714285714285,38.6,2.0,13128,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-12000,100.0,6371.2,70.53,19.47,205.1,,6.238796424480166,23.3,5.7299999999999995,37.2,4.9,3413,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-12000,1000.0,6371.2,47.201,42.799,141.322,20.3,6.552032610303298,71.8,2.0464285714285713,37.6,1.9,3467,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11938,163.0,6371.2,61.683,28.317,343.392,1.6,1.7086507870686207,46.0,1.1869285714285713,35.6,3.7,10712,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11900,180.0,6371.2,57.218,32.782,130.3,6.6,5.252298586805594,44.2,3.7654285714285707,,,12470,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11900,180.0,6371.2,57.218,32.782,130.3,,,,,28.8,4.3,12482,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11810,900.0,6371.2,54.85,35.15,138.63,2.1,2.709480593865456,60.1,1.350642857142857,36.2,2.8,3533,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11770,100.0,6371.2,70.6,19.4,246.5,,,,,38.3,1.1,6848,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11727,100.0,6371.2,70.517,19.483,205.1,,,,,15.72,1.81,1262,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11500,100.0,6371.2,128.21,-38.21,176.366,13.7,4.446045360875511,-61.4,2.128285714285714,,,8285,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11500,100.0,6371.2,46.0,44.0,238.3,-19.30000000000001,4.528202082698694,66.0,1.8417857142857141,,,5311,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11500,100.0,6371.2,46.2,43.8,238.3,-2.1000000000000227,5.517519078287958,70.5,1.8417857142857141,,,5312,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11400,100.0,6371.2,70.53,19.47,205.1,,1.9731092161977364,29.4,1.7189999999999999,29.8,2.7,3414,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11388,100.0,6371.2,70.517,19.483,205.1,,,,,20.04,6.43,1263,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
