t,dt,depth,lat,lon,D,I,F,dD,dI,dF,subs,type,UID,FID
1949.223373921332,27.471294110158933,2.5,33.2309,35.7689,,,36.94217517508343,6.460189892875843,6.225235714285714,5.394593337482977,BIR2-1,sediment,0,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1932.822058305526,30.90048169878925,5.0,33.2309,35.7689,,,31.67111802502881,5.743906304490393,5.267507142857142,5.394593337482977,BIR2-1,sediment,1,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1917.076795314353,35.94970656180113,7.4,33.2309,35.7689,,,37.418517766783175,3.702337499565717,2.873185714285714,5.394593337482977,BIR2-1,sediment,2,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1901.33153232318,42.09912894993671,9.8,33.2309,35.7689,,,31.5939753403028,3.859001134869047,3.3520499999999998,5.394593337482977,BIR2-1,sediment,3,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1887.284800849255,44.57824544905083,12.2,33.2309,35.7689,,,58.7379506365159,3.578257227838329,2.3943214285714283,5.394593337482977,BIR2-1,sediment,4,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1873.9713279780176,47.56013950152339,14.5,33.2309,35.7689,,,53.269451370309405,3.4616182987648045,2.873185714285714,5.394593337482977,BIR2-1,sediment,5,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1860.0790084602056,51.53787767136521,16.9,33.2309,35.7689,,,43.9540675951438,4.742108835564602,3.990535714285714,5.394593337482977,BIR2-1,sediment,6,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1846.765535588969,56.00829432551205,19.2,33.2309,35.7689,-28.311023298616835,51.520709753918155,59.52933747912465,4.365095253310044,3.192428571428571,5.394593337482977,BIR2-1,sediment,7,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1832.6544199939124,58.45441926687778,21.6,33.2309,35.7689,-5.811023298616831,49.04723102733479,65.69158144853145,3.358657049892499,2.553942857142857,5.394593337482977,BIR2-1,sediment,8,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
1817.8413849588308,60.50978775929992,24.1,33.2309,35.7689,-8.811023298616831,51.91053856993647,59.59515151784194,4.833187239899954,3.5116714285714283,5.394593337482977,BIR2-1,sediment,9,b'n\x07\xf6\xd7C\x85\xb9I\x11\xd8\xfem\xa5)\xd4-\x04\xe0\xc3o4d{\x11\xb3\x12+\xb4\xc3tq\xa7'
